Ord_ID,Cust_ID,Prod_ID,Ship_ID,Order_Date,Ship_Date,Customer_Name,Province,Region,Customer_Segment,Sales,Order_Quantity,Order_Priority,DaysTakenForShipping
827,240,5,1134,2012-05-30,2012-05-31,SHAHID HOPKINS,BRITISH COLUMBIA,WEST,SMALL BUSINESS,39584,38,NOT SPECIFIED,1
838,273,5,1148,2012-03-01,2012-03-08,TRUDY SCHMIDT,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,96106,28,LOW,7
847,283,1,1168,2011-10-02,2011-10-02,CHUCK CLARK,NOVA SCOTIA,ATLANTIC,CORPORATE,23825,24,MEDIUM,0
872,298,5,1199,2011-09-08,2011-09-09,RICARDO EMERSON,NOVA SCOTIA,ATLANTIC,CORPORATE,201845,29,CRITICAL,1
905,302,5,1245,2012-02-12,2012-02-13,SALLY MATTHIAS,NOVA SCOTIA,ATLANTIC,HOME OFFICE,72382,26,HIGH,1
933,319,12,1291,2009-07-06,2009-07-07,MICHAEL GRANLUND,NOVA SCOTIA,ATLANTIC,HOME OFFICE,3302,11,NOT SPECIFIED,1
96,69,5,131,2011-03-17,2011-03-18,JULIA WEST,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,175351,42,CRITICAL,1
960,349,5,1329,2011-09-29,2011-10-02,MATT ABELMAN,BRITISH COLUMBIA,WEST,SMALL BUSINESS,6519,49,CRITICAL,3
1008,380,5,1395,2010-10-26,2010-10-31,SARAH JORDON,MANITOBA,PRARIE,CONSUMER,68967,38,LOW,5
1092,1426,5,1508,2010-09-05,2010-09-05,BRUCE STEWART,NEW BRUNSWICK,ATLANTIC,CORPORATE,92782,43,NOT SPECIFIED,0
115,79,1,156,2011-06-07,2011-06-09,DOROTHY WARDLE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,23428,8,CRITICAL,2
1145,439,12,1579,2011-09-07,2011-09-09,CHRISTINE KARGATIS,ONTARIO,ONTARIO,SMALL BUSINESS,4837,16,NOT SPECIFIED,2
836,1037,1,1144,2011-02-03,2011-02-04,TONY CHAPMAN,ONTARIO,ONTARIO,CONSUMER,34018,39,NOT SPECIFIED,1
845,281,5,1162,2010-10-09,2010-10-09,GIULIETTA WEIMER,NOVA SCOTIA,ATLANTIC,CORPORATE,18532,44,HIGH,0
885,308,5,1218,2011-07-03,2011-07-03,STEVE CARROLL,NOVA SCOTIA,ATLANTIC,CONSUMER,32592,33,HIGH,0
909,307,1,1253,2009-08-04,2009-08-05,MICHAEL GRANLUND,NOVA SCOTIA,ATLANTIC,CORPORATE,18904,16,MEDIUM,1
97,70,5,132,2012-06-06,2012-06-08,BRAD EASON,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,42634,31,CRITICAL,2
1038,397,5,1432,2010-11-13,2010-11-14,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,336724,44,NOT SPECIFIED,1
575,195,3,1169,2012-03-23,2012-03-24,SALLY KNUTSON,BRITISH COLUMBIA,WEST,CONSUMER,13231,45,NOT SPECIFIED,1
575,195,8,1169,2012-03-23,2012-03-24,SALLY KNUTSON,BRITISH COLUMBIA,WEST,CONSUMER,8685,3,NOT SPECIFIED,1
938,330,3,1297,2012-12-27,2012-12-27,ROLAND BLACK,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,83351,41,HIGH,0
953,343,3,1320,2012-12-16,2012-12-16,KEN HEIDEL,BRITISH COLUMBIA,WEST,CORPORATE,26588,46,NOT SPECIFIED,0
99,72,8,136,2012-11-06,2012-11-10,MONICA FEDERLE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,31144,32,LOW,4
1004,365,3,1389,2012-07-20,2012-07-20,PARHENA NORRIS,MANITOBA,PRARIE,HOME OFFICE,13954,26,NOT SPECIFIED,0
1018,362,3,1408,2012-07-10,2012-07-11,ROLAND BLACK,MANITOBA,PRARIE,SMALL BUSINESS,5559,8,MEDIUM,1
1035,394,8,1429,2011-09-08,2011-09-09,ROBERT WALDORF,MANITOBA,PRARIE,HOME OFFICE,35743,17,HIGH,1
111,65,8,152,2010-08-17,2010-08-19,MUHAMMED MACINTYRE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,63356,31,NOT SPECIFIED,2
1106,419,8,1527,2009-05-10,2009-05-12,ROBERT WALDORF,ONTARIO,ONTARIO,HOME OFFICE,30946,49,LOW,2
1159,1421,3,1601,2009-01-29,2009-01-31,LIZ MACKENDRICK,NEW BRUNSWICK,ATLANTIC,CORPORATE,1614761,38,MEDIUM,2
1242,464,3,1717,2012-10-19,2012-10-19,PAULINE CHAND,ONTARIO,ONTARIO,CORPORATE,32191,22,NOT SPECIFIED,0
1249,475,3,1725,2012-03-14,2012-03-16,DANIEL RAGLIN,ONTARIO,ONTARIO,CORPORATE,61171,18,NOT SPECIFIED,2
1250,1761,3,1726,2011-06-29,2011-07-01,ROSE O'BRIAN,ALBERTA,WEST,HOME OFFICE,11082021,1,LOW,2
130,1064,3,176,2009-08-10,2009-08-10,FRED WASSERMAN,ONTARIO,ONTARIO,HOME OFFICE,37665,16,LOW,0
1062,397,3,1468,2010-11-21,2010-11-22,CHRISTINE SUNDARESAM,MANITOBA,PRARIE,SMALL BUSINESS,14931,27,NOT SPECIFIED,1
1078,413,3,1491,2012-11-07,2012-11-08,BRUCE STEWART,ONTARIO,ONTARIO,CORPORATE,25797,19,HIGH,1
1079,414,3,1492,2011-02-07,2011-02-10,BRIAN THOMPSON,ONTARIO,ONTARIO,HOME OFFICE,61977,42,CRITICAL,3
1151,442,3,1585,2009-06-22,2009-06-24,RUSSELL APPLEGATE,ONTARIO,ONTARIO,HOME OFFICE,153837,50,CRITICAL,2
1153,444,3,1587,2010-12-07,2010-12-08,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,35695,1,MEDIUM,1
1153,444,8,1587,2010-12-07,2010-12-08,BILL DONATELLI,ONTARIO,ONTARIO,CORPORATE,11286,17,MEDIUM,1
126,85,3,170,2009-11-14,2009-11-15,BRYAN MILLS,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,4737,8,MEDIUM,1
1239,472,3,1712,2009-12-06,2009-12-08,NAT GILPIN,ONTARIO,ONTARIO,CONSUMER,8723,14,NOT SPECIFIED,2
5187,1746,7,7251,2011-10-02,2011-10-02,BECKY PAK,ALBERTA,WEST,CORPORATE,14069,31,NOT SPECIFIED,0
546,198,14,741,2010-06-25,2010-06-26,SETH VERNON,BRITISH COLUMBIA,WEST,HOME OFFICE,2787554,46,MEDIUM,1
845,281,7,1162,2010-10-09,2010-10-09,GIULIETTA WEIMER,NOVA SCOTIA,ATLANTIC,CORPORATE,4366,28,HIGH,0
924,327,7,1279,2010-02-27,2010-02-27,MIKE KENNEDY,NOVA SCOTIA,ATLANTIC,CORPORATE,4123,35,CRITICAL,0
1096,423,14,1512,2011-06-14,2011-06-21,LYCORIS SAUNDERS,ONTARIO,ONTARIO,HOME OFFICE,222261,3,LOW,7
1274,471,7,1760,2010-02-02,2010-02-09,JONI BLUMSTEIN,ONTARIO,ONTARIO,CONSUMER,5072021,1,LOW,7
1334,507,14,1835,2011-03-17,2011-03-19,FRANK CARLISLE,ONTARIO,ONTARIO,SMALL BUSINESS,88594,2,CRITICAL,2
1425,541,7,1970,2010-08-13,2010-08-14,GEORGE ASHBROOK,ONTARIO,ONTARIO,CONSUMER,4799,33,MEDIUM,1
1506,535,7,2082,2010-12-27,2010-12-29,DAVID SMITH,ONTARIO,ONTARIO,SMALL BUSINESS,12662,34,CRITICAL,2
1570,517,7,2166,2009-09-24,2009-09-25,EUGENE HILDEBRAND,ONTARIO,ONTARIO,HOME OFFICE,4325,11,MEDIUM,1
1710,577,7,2368,2011-04-13,2011-04-15,THOMAS BOLAND,ONTARIO,ONTARIO,CORPORATE,7177,19,CRITICAL,2
1773,598,7,2458,2009-12-02,2009-12-09,MICHELLE ELLISON,ONTARIO,ONTARIO,HOME OFFICE,9322,25,LOW,7
1799,609,7,2730,2011-03-20,2011-03-21,ERIC BARRETO,NEWFOUNDLAND,ATLANTIC,CONSUMER,1192,32,HIGH,1
2415,965,7,3313,2009-07-17,2009-07-21,ANNE PRYOR,QUEBEC,QUEBEC,HOME OFFICE,6064,31,LOW,4
2659,1016,7,3639,2012-05-06,2012-05-06,VIVEK GRADY,ONTARIO,ONTARIO,HOME OFFICE,3422,31,LOW,0
2790,1008,7,3836,2011-03-19,2011-03-20,BILL OVERFELT,ONTARIO,ONTARIO,CORPORATE,13307,35,NOT SPECIFIED,1
2955,1030,7,4076,2012-10-24,2012-10-26,ODELLA NELSON,ONTARIO,ONTARIO,SMALL BUSINESS,738,21,HIGH,2
303,65,7,408,2011-04-08,2011-04-09,MUHAMMED MACINTYRE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,7799,20,HIGH,1
3440,1200,7,4768,2012-12-30,2012-12-30,THERESA SWINT,MANITOBA,PRARIE,CONSUMER,1415,10,MEDIUM,0
3508,1184,7,4859,2009-11-18,2009-11-20,LINDA SOUTHWORTH,MANITOBA,PRARIE,CONSUMER,4223,23,CRITICAL,2
2819,1016,7,3880,2011-10-31,2011-11-01,VIVEK GRADY,ONTARIO,ONTARIO,HOME OFFICE,1485,6,MEDIUM,1
3068,1140,7,4260,2009-11-02,2009-11-04,PATRICK JONES,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,10796,30,LOW,2
3073,1142,14,4267,2009-03-01,2009-03-04,NATHAN MAUTZ,NEW BRUNSWICK,ATLANTIC,CORPORATE,355028,1,MEDIUM,3
3309,1210,7,4589,2009-10-30,2009-11-06,GARY HWANG,MANITOBA,PRARIE,HOME OFFICE,11606,47,LOW,7
363,145,14,482,2012-09-10,2012-09-12,HILARY HOLDEN,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,642087,9,LOW,2
3629,1260,14,5026,2012-07-13,2012-07-14,MITCH WILLINGHAM,SASKACHEWAN,PRARIE,CORPORATE,1393453,50,MEDIUM,1
5467,1803,14,7639,2011-07-10,2011-07-12,TONJA TURNELL,ALBERTA,WEST,CONSUMER,596419,33,NOT SPECIFIED,2
589,197,7,803,2012-10-25,2012-10-25,MICHELLE ARNETT,BRITISH COLUMBIA,WEST,HOME OFFICE,33927,46,MEDIUM,0
656,198,7,896,2012-03-04,2012-03-08,SETH VERNON,BRITISH COLUMBIA,WEST,HOME OFFICE,5069,12,LOW,4
690,235,7,945,2010-02-02,2010-02-02,MARC HARRIGAN,BRITISH COLUMBIA,WEST,HOME OFFICE,7937,25,CRITICAL,0
704,242,7,963,2011-08-07,2011-08-08,RICARDO EMERSON,BRITISH COLUMBIA,WEST,CORPORATE,1022024,1,CRITICAL,1
1665,541,3,2301,2009-03-23,2009-03-25,GEORGE ASHBROOK,ONTARIO,ONTARIO,CONSUMER,10604,25,MEDIUM,2
1667,512,8,2304,2010-01-03,2010-01-04,DARREN BUDD,ONTARIO,ONTARIO,CONSUMER,29448,37,NOT SPECIFIED,1
1670,566,3,2308,2012-02-01,2012-02-03,ANEMONE RATNER,ONTARIO,ONTARIO,SMALL BUSINESS,36271,48,HIGH,2
1736,595,3,2400,2011-11-26,2011-11-27,VICTORIA WILSON,ONTARIO,ONTARIO,HOME OFFICE,43137,28,HIGH,1
1767,583,8,2449,2012-12-09,2012-12-10,SEAN MILLER,ONTARIO,ONTARIO,SMALL BUSINESS,11483,4,CRITICAL,1
1775,593,8,2460,2011-12-20,2011-12-21,PATRICK O'DONNELL,ONTARIO,ONTARIO,HOME OFFICE,385347,27,MEDIUM,1
1801,611,3,2494,2010-11-29,2010-11-29,BARRY FRANZ,NEWFOUNDLAND,ATLANTIC,CORPORATE,41882,48,MEDIUM,0
1832,636,8,2526,2009-06-10,2009-06-10,TOM PRESCOTT,NEWFOUNDLAND,ATLANTIC,SMALL BUSINESS,5703,7,HIGH,0
1845,647,3,2539,2012-11-08,2012-11-09,MUHAMMED YEDWAB,NEWFOUNDLAND,ATLANTIC,CONSUMER,213082,31,NOT SPECIFIED,1
43,34,8,2587,2009-03-20,2009-03-20,BARRY WEIRICH,NUNAVUT,NUNAVUT,CORPORATE,15077,7,MEDIUM,0
1905,681,8,2612,2010-07-16,2010-07-17,FRED MCMATH,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,163104,48,MEDIUM,1
1905,681,3,2612,2010-07-16,2010-07-17,FRED MCMATH,NOVA SCOTIA,ATLANTIC,SMALL BUSINESS,21462,49,MEDIUM,1
1967,734,3,2691,2011-12-18,2011-12-19,MARC CRIER,NOVA SCOTIA,ATLANTIC,CORPORATE,16225,21,MEDIUM,1
1998,754,8,2729,2009-04-14,2009-04-15,BECKY MARTIN,NOVA SCOTIA,ATLANTIC,HOME OFFICE,100371,33,MEDIUM,1
797,265,3,1099,2009-08-27,2009-08-27,NEIL KNUDSON,BRITISH COLUMBIA,WEST,CORPORATE,3376,16,MEDIUM,0
797,265,8,1099,2009-08-27,2009-08-27,NEIL KNUDSON,BRITISH COLUMBIA,WEST,CORPORATE,98624,18,MEDIUM,0
830,243,8,1138,2010-08-26,2010-08-28,PATRICK O'BRILL,BRITISH COLUMBIA,WEST,HOME OFFICE,17705,5,LOW,2
864,276,8,1189,2010-03-07,2010-03-07,JUSTIN HIRSH,NOVA SCOTIA,ATLANTIC,CONSUMER,85795,20,MEDIUM,0
90,66,3,122,2011-10-09,2011-10-10,DOUG BICKFORD,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,141405,42,HIGH,1
10,10,3,13,2012-08-04,2012-08-04,CLAUDIA MINER,NUNAVUT,NUNAVUT,SMALL BUSINESS,8061,15,NOT SPECIFIED,0
959,348,8,1328,2012-07-10,2012-07-11,NATHAN CANO,BRITISH COLUMBIA,WEST,CONSUMER,9905,23,NOT SPECIFIED,1
1011,381,3,1400,2011-02-19,2011-02-20,MIKE KENNEDY,MANITOBA,PRARIE,SMALL BUSINESS,346597,4,MEDIUM,1
1011,381,8,1400,2011-02-19,2011-02-20,MIKE KENNEDY,MANITOBA,PRARIE,SMALL BUSINESS,130788,13,MEDIUM,1
1076,412,3,1488,2009-07-30,2009-07-30,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,40424,23,LOW,0
962,340,1,1331,2010-09-17,2010-09-22,NEIL DUCICH,BRITISH COLUMBIA,WEST,HOME OFFICE,9263,15,LOW,5
968,250,12,1338,2011-02-03,2011-02-05,MARK COUSINS,BRITISH COLUMBIA,WEST,HOME OFFICE,29812,50,MEDIUM,2
993,368,1,1373,2009-02-25,2009-02-27,DANA KAYDOS,MANITOBA,PRARIE,CORPORATE,26458,31,NOT SPECIFIED,2
993,368,5,1373,2009-02-25,2009-02-27,DANA KAYDOS,MANITOBA,PRARIE,CORPORATE,114026,39,NOT SPECIFIED,2
996,371,5,1378,2009-05-12,2009-05-13,AARON SMAYLING,MANITOBA,PRARIE,SMALL BUSINESS,320225,44,MEDIUM,1
1020,1143,5,1410,2009-01-22,2009-01-22,NATHAN MAUTZ,NEW BRUNSWICK,ATLANTIC,HOME OFFICE,403972,44,HIGH,0
1050,402,5,1449,2010-12-12,2010-12-13,MARIA BERTELSON,MANITOBA,PRARIE,HOME OFFICE,69088,32,MEDIUM,1
1137,416,5,1567,2010-08-05,2010-08-09,CHRISTINA VANDERZANDEN,ONTARIO,ONTARIO,SMALL BUSINESS,37713,38,LOW,4
765,251,5,1045,2012-06-23,2012-06-24,MARK COUSINS,BRITISH COLUMBIA,WEST,CORPORATE,3641,14,HIGH,1
777,245,1,1065,2012-08-30,2012-08-30,VICKY FREYMANN,BRITISH COLUMBIA,WEST,HOME OFFICE,77053,44,MEDIUM,0
785,238,5,1078,2010-01-20,2010-01-21,ROB DOWD,BRITISH COLUMBIA,WEST,CORPORATE,44653,48,HIGH,1
806,237,12,1109,2012-08-04,2012-08-06,RALPH KENNEDY,BRITISH COLUMBIA,WEST,CORPORATE,12165,42,NOT SPECIFIED,2
806,237,5,1109,2012-08-04,2012-08-06,RALPH KENNEDY,BRITISH COLUMBIA,WEST,CORPORATE,19022021,2,NOT SPECIFIED,2
817,266,5,1123,2010-04-10,2010-04-12,CHUCK CLARK,BRITISH COLUMBIA,WEST,CORPORATE,18407,8,NOT SPECIFIED,2
86,459,5,115,2009-07-16,2009-07-17,SKYE NORLING,ONTARIO,ONTARIO,HOME OFFICE,24351,18,NOT SPECIFIED,1
865,294,5,1190,2012-10-16,2012-10-23,KHLOE MILLER,NOVA SCOTIA,ATLANTIC,CONSUMER,66221,33,CRITICAL,7
955,345,5,1323,2010-03-03,2010-03-07,JOHN CASTELL,BRITISH COLUMBIA,WEST,SMALL BUSINESS,19155,26,LOW,4
1001,374,5,1385,2009-09-27,2009-09-28,MARY O'ROURKE,MANITOBA,PRARIE,HOME OFFICE,198126,49,MEDIUM,1
1010,366,5,1399,2012-08-07,2012-08-08,THEONE PIPPENGER,MANITOBA,PRARIE,CORPORATE,19523,35,HIGH,1
1014,368,5,1404,2012-04-12,2012-04-13,DANA KAYDOS,MANITOBA,PRARIE,CORPORATE,13109,10,CRITICAL,1
1030,374,1,1423,2009-02-23,2009-02-24,MARY O'ROURKE,MANITOBA,PRARIE,HOME OFFICE,83481,22,CRITICAL,1
1076,412,5,1488,2009-07-30,2009-07-30,GUY THORNTON,ONTARIO,ONTARIO,CORPORATE,138188,32,LOW,0
1110,430,1,1534,2010-07-21,2010-07-21,ANNIE THURMAN,ONTARIO,ONTARIO,HOME OFFICE,542358,42,HIGH,0
1127,434,5,1554,2011-11-27,2011-11-29,ANNIE THURMAN,ONTARIO,ONTARIO,CONSUMER,1121974,1,NOT SPECIFIED,2
1146,438,5,1580,2010-07-23,2010-07-30,LIZ MACKENDRICK,ONTARIO,ONTARIO,CORPORATE,100574,47,LOW,7
1148,440,5,1582,2012-03-23,2012-03-25,BOBBY ODEGARD,ONTARIO,ONTARIO,CORPORATE,31635,21,NOT SPECIFIED,2
133,90,4,180,2009-05-29,2009-06-05,CLAUDIA MINER,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,SMALL BUSINESS,241706,13,LOW,7
1305,487,4,1800,2010-10-26,2010-10-28,ERIN CREIGHTON,ONTARIO,ONTARIO,CORPORATE,1118396,11,CRITICAL,2
1319,500,16,1816,2010-10-21,2010-10-26,EILEEN KIEFER,ONTARIO,ONTARIO,CONSUMER,3459,14,LOW,5
138,92,10,185,2009-01-06,2009-01-07,JULIA WEST,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,2613339,30,CRITICAL,1
1349,516,10,1855,2012-10-31,2012-11-01,DARREN BUDD,ONTARIO,ONTARIO,CORPORATE,173594,13,CRITICAL,1
1388,495,10,1916,2010-02-10,2010-02-13,TED TREVINO,ONTARIO,ONTARIO,CORPORATE,63313,10,MEDIUM,3
130,1064,4,176,2009-08-10,2009-08-10,FRED WASSERMAN,ONTARIO,ONTARIO,HOME OFFICE,16650395,35,LOW,0
140,44,9,188,2010-08-26,2010-08-30,JOY BELL,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,HOME OFFICE,31785,28,LOW,4
1365,526,4,1882,2012-06-11,2012-06-18,GEORGE ASHBROOK,ONTARIO,ONTARIO,SMALL BUSINESS,50232535,46,LOW,7
141,138,4,189,2011-06-20,2011-06-22,JACK LEBRON,PRINCE EDWARD ISLAND,ATLANTIC,CORPORATE,8961805,15,HIGH,2
1374,511,4,1893,2009-12-04,2009-12-05,ERIN ASHBROOK,ONTARIO,ONTARIO,CONSUMER,2206991,13,HIGH,1
1376,518,9,1896,2009-05-21,2009-05-23,EDWARD BECKER,ONTARIO,ONTARIO,HOME OFFICE,28171,36,MEDIUM,2
1444,489,9,1995,2012-03-28,2012-03-29,CANDACE MCMAHON,ONTARIO,ONTARIO,CORPORATE,23303,26,HIGH,1
1512,501,9,2088,2011-12-16,2011-12-17,JAMES LANIER,ONTARIO,ONTARIO,CORPORATE,9607,22,MEDIUM,1
1522,512,10,2103,2010-08-14,2010-08-16,DARREN BUDD,ONTARIO,ONTARIO,CONSUMER,7157,13,HIGH,2
1536,561,4,2125,2009-12-12,2009-12-13,CARI MACINTYRE,ONTARIO,ONTARIO,CORPORATE,3066205,3,MEDIUM,1
1634,561,4,2255,2010-11-04,2010-11-06,CARI MACINTYRE,ONTARIO,ONTARIO,CORPORATE,1236954,23,NOT SPECIFIED,2
1649,498,4,2278,2012-05-02,2012-05-07,ALAN HWANG,ONTARIO,ONTARIO,CORPORATE,22095155,41,LOW,5
1660,557,9,2291,2009-07-04,2009-07-06,DAVE HALLSTEN,ONTARIO,ONTARIO,CORPORATE,51453,21,LOW,2
1686,581,4,2331,2011-02-06,2011-02-07,TODD BOYES,ONTARIO,ONTARIO,CONSUMER,771783,7,CRITICAL,1
1687,582,4,2333,2012-09-13,2012-09-14,TODD BOYES,ONTARIO,ONTARIO,SMALL BUSINESS,61111685,41,NOT SPECIFIED,1
175,104,16,238,2009-09-25,2009-09-25,JEREMY LONSDALE,NORTHWEST TERRITORIES,NORTHWEST TERRITORIES,CORPORATE,50131,40,CRITICAL,0
1743,577,4,2413,2012-06-08,2012-06-08,THOMAS BOLAND,ONTARIO,ONTARIO,CORPORATE,17702015,11,MEDIUM,0
1780,587,4,2467,2009-09-23,2009-09-28,SCOT CORAM,ONTARIO,ONTARIO,CORPORATE,7063925,39,LOW,5
1309,491,16,1805,2009-11-21,2009-11-22,DUANE HUFFMAN,ONTARIO,ONTARIO,SMALL BUSINESS,1732,18,HIGH,1
1582,551,10,2187,2009-01-20,2009-01-23,CYNTHIA ARNTZEN,ONTARIO,ONTARIO,SMALL BUSINESS,397033,27,HIGH,3
1735,589,16,2398,2010-06-09,2010-06-09,NATHAN GELDER,ONTARIO,ONTARIO,HOME OFFICE,25338,17,MEDIUM,0
1748,577,4,2420,2011-05-22,2011-05-24,THOMAS BOLAND,ONTARIO,ONTARIO,CORPORATE,25033265,45,MEDIUM,2
1776,587,16,2462,2012-01-05,2012-01-05,SCOT CORAM,ONTARIO,ONTARIO,CORPORATE,19239,19,HIGH,0
1843,645,4,2537,2012-03-03,2012-03-04,COREY ROPER,NEWFOUNDLAND,ATLANTIC,SMALL BUSINESS,596156,26,MEDIUM,1
1866,657,4,2561,2009-06-02,2009-06-03,ELPIDA RITTENBACH,NOVA SCOTIA,ATLANTIC,CONSUMER,26907515,15,NOT SPECIFIED,1
1866,657,9,2561,2009-06-02,2009-06-03,ELPIDA RITTENBACH,NOVA SCOTIA,ATLANTIC,CONSUMER,47753,50,NOT SPECIFIED,1
